List,Loop,Field,ImageNum,Qualtrics Image Link,Qualtrics Library URL,Qualtrics Library ID,Filename,Filecode
A,6,1,63,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bOBq5x3NjLaikPs"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bOBq5x3NjLaikPs,IM_bOBq5x3NjLaikPs,WAW-53-6953601.jpg,WAW-53
A,6,2,26,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55Ala6FtIazI4S2"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55Ala6FtIazI4S2,IM_55Ala6FtIazI4S2,AAW-51-2294406.jpg,AAW-51
A,6,3,22,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bPB4WINJX4AgIt0"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bPB4WINJX4AgIt0,IM_bPB4WINJX4AgIt0,AAW-47-8199555.jpg,AAW-47
A,6,4,66,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7W29uBl5jhqQuzA"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7W29uBl5jhqQuzA,IM_7W29uBl5jhqQuzA,WAW-58-7535446.jpg,WAW-58
A,6,5,61,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d5UmaUooIqdI4Jg"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d5UmaUooIqdI4Jg,IM_d5UmaUooIqdI4Jg,WAW-51-4498509.jpg,WAW-51
A,6,6,62,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5w1EOSrYFO3BqjI"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5w1EOSrYFO3BqjI,IM_5w1EOSrYFO3BqjI,WAW-52-4194561.jpg,WAW-52
A,6,7,67,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d1rfFUoNmAFLQs6"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d1rfFUoNmAFLQs6,IM_d1rfFUoNmAFLQs6,WAW-61-8532623.jpg,WAW-61
A,6,8,69,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1GGZ7lQ5qOGnl0W"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1GGZ7lQ5qOGnl0W,IM_1GGZ7lQ5qOGnl0W,WAW-63-3755759.jpg,WAW-63
A,7,1,11,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wyBGsBgbSyT4Mu"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8wyBGsBgbSyT4Mu,IM_8wyBGsBgbSyT4Mu,AAW-25-1645500.jpg,AAW-25
A,7,2,13,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6g7DQpb7a7wYUWa"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6g7DQpb7a7wYUWa,IM_6g7DQpb7a7wYUWa,AAW-28-11137036.jpg,AAW-28
A,7,3,18,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Mfjkr0NKcD2oF8"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Mfjkr0NKcD2oF8,IM_4Mfjkr0NKcD2oF8,AAW-39-8102233.jpg,AAW-39
A,7,4,41,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9XLji5myBcyNRgG"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9XLji5myBcyNRgG,IM_9XLji5myBcyNRgG,WAW-19-7967347.jpg,WAW-19
A,7,5,46,"<img src=""https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8doYi3Y3cSrgHrg"" />",https://umich.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8doYi3Y3cSrgHrg,IM_8doYi3Y3cSrgHrg,WAW-24-5186398.jpg,WAW-24
